ID	variant	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent	NoOfReadsinPuzzleCovALT	UserPercentDifferntToBWACovALT	MeanPercentOfReadsDifferentCovALT
137	snp	648	1	20	20	100	25.0	12	0	0
138	snp	1552	14	20	18	0	0	10	0	0
139	snp	52	11	1	1	0	0	1	0	0
140	indel	307	7	20	18	0	0	15	0	0
141	indel	707	3	10	10	100	100.0	5	100	100.0
142	snp	284	12	16	14	0	0	10	0	0
143	snp	1111	4	20	20	100	5.0	14	0	0
144	snp	1376	10	20	20	0	0	16	0	0
145	snp	748	7	18	18	100	5.0	4	0	0
146	snp	759	2	20	20	100	42.5	3	100	66.0
147	snp	1546	6	20	20	100	20.0	12	100	25.0
148	snp	1691	9	20	20	0	0	10	0	0
149	snp	1772	10	20	20	0	0	15	0	0
150	snp	1251	2	20	20	100	70.0	9	100	66.0
151	snp	366	1	6	6	100	100.0	0	0	0
152	snp	845	1	20	20	100	100.0	0	0	0
153	snp	1052	2	20	20	100	100.0	2	100	100.0
154	snp	977	1	20	20	100	30.0	6	100	16.0
155	snp	1461	4	20	20	100	5.0	11	0	0
156	snp	1561	2	20	20	100	5.0	12	0	0
157	snp	1612	17	20	20	0	0	10	0	0
158	snp	1604	11	20	20	0	0	9	0	0
159	snp	1572	14	20	20	100	10.0	12	100	16.0
160	snp	1602	6	20	20	100	5.0	10	100	10.0
161	snp	1361	8	20	20	0	0	12	0	0
162	snp	1539	7	20	18	100	5.0	10	100	10.0
163	snp	1563	9	20	20	0	0	12	0	0
164	snp	986	9	20	20	100	75.0	3	0	0
165	snp	832	2	20	20	100	80.0	0	0	0
166	snp	825	1	20	20	100	100.0	0	0	0
167	snp	641	3	14	14	100	100.0	0	0	0
168	snp	648	3	20	20	100	18.333333333333332	14	100	7.0
169	snp	1925	4	20	20	100	5.0	15	100	6.0
170	snp	1849	12	20	20	0	0	13	0	0
171	snp	558	1	10	10	100	20.0	4	0	0
172	snp	1056	1	20	20	100	80.0	5	100	40.0
173	snp	1895	9	20	20	100	5.0	7	100	14.0
174	snp	1746	5	20	20	100	5.0	9	100	11.0
175	snp	1439	11	20	20	0	0	15	0	0
176	snp	835	3	19	19	100	24.333333333333332	7	0	0
177	snp	964	3	20	20	100	100.0	0	0	0
178	snp	938	1	20	20	100	100.0	0	0	0
179	snp	944	2	20	20	100	100.0	0	0	0
180	snp	963	2	20	20	100	85.0	2	0	0
181	snp	960	2	20	20	100	100.0	0	0	0
182	snp	1458	2	20	20	100	5.0	7	0	0
183	snp	1605	3	20	20	100	5.0	6	100	16.0
184	snp	1539	2	20	20	100	15.0	5	100	20.0
185	snp	1604	4	20	20	100	10.0	6	100	33.0
186	snp	1620	13	20	20	0	0	11	0	0
187	snp	1605	3	20	20	100	5.0	10	100	10.0
188	snp	1581	7	20	20	100	5.0	10	100	10.0
189	snp	1597	1	20	20	100	5.0	8	100	12.0
190	snp	1620	18	20	20	0	0	10	0	0
191	snp	1620	6	20	20	0	0	5	0	0
192	snp	1620	13	20	20	100	5.0	4	100	25.0
193	snp	1620	6	20	20	0	0	6	0	0
194	snp	1620	12	20	20	0	0	9	0	0
195	snp	1620	9	20	20	0	0	7	0	0
196	snp	1612	12	20	20	0	0	7	0	0
197	snp	1585	9	20	20	0	0	5	0	0
198	snp	1492	5	20	20	0	0	5	0	0
199	snp	1277	7	20	20	0	0	8	0	0
200	snp	815	1	20	18	100	44.0	2	0	0
201	snp	879	2	20	20	100	100.0	0	0	0
202	snp	665	5	20	20	100	30.0	0	0	0
203	snp	695	1	20	20	100	80.0	0	0	0
204	snp	743	1	20	20	100	95.0	0	0	0
205	snp	764	1	20	20	100	90.0	0	0	0
206	snp	90	6	2	2	100	100.0	0	0	0
207	snp	580	3	20	20	100	100.0	0	0	0
208	snp	564	1	20	20	100	100.0	0	0	0
209	snp	572	1	20	20	100	100.0	0	0	0
210	snp	587	3	20	20	100	100.0	0	0	0
211	snp	606	2	20	20	100	60.0	0	0	0
212	snp	862	4	20	20	0	0	0	0	0
213	snp	1004	8	20	20	100	90.0	9	100	100.0
214	snp	1154	5	20	20	100	20.0	4	100	25.0
215	snp	1392	7	20	20	0	0	5	0	0
216	snp	1478	9	20	20	0	0	5	0	0
217	snp	1540	7	20	20	0	0	2	0	0
218	snp	1710	13	20	20	0	0	4	0	0
219	snp	1757	2	20	20	100	5.0	6	100	16.0
220	snp	1510	6	20	20	100	50.0	8	100	62.0
221	snp	1702	2	20	20	100	20.0	12	100	33.0
222	snp	1772	12	20	20	0	0	5	0	0
223	snp	1773	4	20	20	100	5.0	6	100	16.0
224	snp	1748	9	20	20	0	0	8	0	0
225	snp	1705	1	20	20	100	10.0	9	100	11.0
226	snp	1772	6	20	20	0	0	7	0	0
227	snp	1780	9	20	20	100	10.0	6	100	16.0
228	snp	1772	6	20	20	0	0	2	0	0
229	snp	1764	10	20	20	0	0	4	0	0
230	snp	1772	13	20	20	100	5.0	3	100	33.0
231	snp	1772	10	20	20	0	0	7	0	0
232	snp	1766	4	20	20	100	5.0	6	100	16.0
233	snp	1751	2	20	20	100	10.0	5	100	40.0
234	snp	1767	4	20	20	100	10.0	6	100	33.0
235	snp	1780	11	20	20	0	0	4	0	0
236	snp	1757	17	20	20	100	35.0	7	100	100.0
237	snp	1734	2	20	20	100	15.0	6	100	50.0
238	snp	1772	9	20	20	0	0	11	0	0
239	snp	1780	12	20	20	100	5.0	6	100	16.0
240	snp	1760	4	20	20	100	15.0	7	100	42.0
241	snp	1780	17	20	20	0	0	1	0	0
242	snp	1732	5	20	20	0	0	8	0	0
243	snp	1772	15	20	20	0	0	2	0	0
244	snp	1780	11	20	20	0	0	8	0	0
245	snp	1740	8	20	20	0	0	9	0	0
246	snp	1740	5	20	20	100	5.0	10	100	10.0
247	snp	1764	11	20	20	0	0	4	0	0
248	snp	1756	11	20	20	0	0	6	0	0
249	snp	1780	13	20	20	0	0	5	0	0
250	snp	1756	7	20	20	0	0	5	0	0
251	snp	1772	6	20	20	0	0	2	0	0
252	snp	1739	2	20	20	100	10.0	5	100	40.0
253	snp	1756	1	20	20	0	0	5	0	0
254	snp	1742	8	20	20	100	9.375	3	100	61.875
255	snp	1742	11	20	20	100	10.0	8	100	25.0
256	snp	1772	9	20	20	0	0	4	0	0
257	snp	1764	5	20	20	0	0	5	0	0
258	snp	1741	3	20	20	100	20.0	10	100	40.0
259	snp	1686	4	20	20	100	30.0	10	100	60.0
260	snp	1780	11	20	20	0	0	5	0	0
261	snp	1772	8	20	20	100	10.0	11	100	18.0
262	snp	1764	8	20	20	100	10.0	6	100	33.0
263	snp	1758	6	20	20	100	5.0	6	100	16.0
264	snp	1757	13	20	20	100	10.0	6	100	33.0
265	snp	1734	4	20	20	100	5.0	6	100	16.0
266	snp	1740	8	20	20	100	5.0	8	100	12.0
267	snp	1749	6	20	20	100	5.0	8	100	12.0
268	snp	1780	12	20	20	0	0	4	0	0
269	snp	1734	8	20	20	100	15.0	8	100	37.0
270	snp	1628	2	20	20	100	15.0	13	100	23.0
271	snp	1712	5	20	20	100	15.0	20	100	15.0
272	snp	236	3	10	10	100	20.0	0	0	0
273	snp	328	2	20	16	100	12.0	11	0	0
274	snp	287	9	4	4	0	0	3	0	0
275	snp	38	1	17	15	0	0	13	0	0
276	indel	1000	2	20	20	100	100.0	0	0	0
277	indel	1008	4	20	20	100	100.0	0	0	0
278	indel	1013	1	20	20	100	100.0	0	0	0
279	indel	1138	11	20	20	100	40.0	6	0	0
280	indel	1967	3	20	20	100	60.0	16	100	56.0
281	indel	1925	15	20	20	100	70.0	14	100	64.0
282	indel	1951	8	20	20	100	70.0	12	100	66.0
283	indel	1978	5	20	20	100	90.0	18	100	88.0
284	indel	1950	2	20	20	100	85.0	17	100	82.0
285	indel	1931	9	20	20	100	75.0	17	100	76.0
286	indel	1891	5	20	20	100	95.0	9	100	88.0
287	indel	1806	7	20	20	100	75.0	15	100	80.0
288	indel	1363	2	20	20	100	100.0	5	100	100.0
289	indel	66	7	1	1	100	100.0	0	0	0
290	snp	129	6	15	11	100	18.0	8	0	0
291	indel	700	1	20	20	100	100.0	0	0	0
292	indel	1807	6	20	20	100	30.0	14	100	35.0
293	indel	1937	3	20	20	100	100.0	14	100	100.0
294	indel	1963	5	20	20	100	90.0	15	100	93.0
295	indel	1873	9	20	20	100	82.77777777777777	13	100	80.0
296	indel	295	5	6	6	100	83.0	0	0	0
297	snp	275	6	20	16	0	0	13	0	0
298	snp	1067	11	20	18	100	55.0	13	100	61.0
299	snp	760	13	18	18	100	5.461538461538462	10	100	10.76923076923077
300	snp	1360	1	20	20	100	25.0	12	100	25.0
301	snp	1020	7	20	20	100	5.0	12	100	8.0
302	snp	1787	10	20	20	0	0	12	0	0
303	snp	407	2	10	10	100	70.0	1	0	0
304	snp	760	1	20	20	100	35.0	0	0	0
305	snp	928	8	20	20	0	0	7	0	0
306	snp	1678	12	20	20	100	5.0	9	100	11.0
307	snp	1892	11	20	20	0	0	9	0	0
308	snp	1940	9	20	20	0	0	8	0	0
309	snp	1924	11	20	20	100	5.0	8	100	12.0
310	snp	1916	14	20	20	0	0	10	0	0
311	snp	1940	10	20	20	0	0	15	0	0
312	snp	1940	14	20	20	0	0	3	0	0
313	snp	1916	4	20	20	0	0	9	0	0
314	snp	1822	7	20	20	0	0	12	0	0
315	snp	1538	5	20	20	100	5.0	2	100	50.0
316	snp	1464	9	20	18	0	0	7	0	0
317	snp	1457	4	20	18	0	0	5	0	0
318	snp	1405	3	20	20	100	5.0	9	100	11.0
319	snp	1021	1	20	20	100	75.0	5	100	20.0
320	snp	287	2	7	7	100	100.0	0	0	0
321	snp	825	1	20	18	100	11.0	12	100	8.0
322	snp	1353	11	20	20	0	0	14	0	0
323	snp	106	1	3	3	100	100.0	0	0	0
324	snp	997	8	20	20	100	100.0	0	0	0
325	snp	1020	6	20	20	100	100.0	0	0	0
326	snp	1012	3	20	20	100	100.0	1	100	100.0
327	snp	1227	2	20	20	100	60.0	4	100	25.0
328	snp	1551	6	20	20	100	10.0	9	100	11.0
329	snp	1598	5	20	20	100	10.0	11	100	18.0
330	snp	1596	6	20	20	0	0	7	0	0
331	snp	1463	3	20	20	100	10.0	10	0	0
332	snp	1636	11	20	20	100	5.0	15	100	6.0
333	snp	1584	4	20	20	100	5.0	10	100	10.0
334	snp	1620	16	20	20	0	0	12	0	0
335	snp	1491	5	20	20	20	5.0	15	20	6.0
336	snp	1281	6	20	20	100	45.0	11	100	27.0
337	snp	1067	2	20	20	100	100.0	6	100	100.0
338	snp	1004	1	20	20	100	100.0	0	0	0
339	snp	1025	1	20	20	100	100.0	0	0	0
340	snp	763	1	17	17	100	100.0	0	0	0
341	snp	729	1	20	20	100	10.0	10	0	0
342	snp	1868	11	20	20	0	0	14	0	0
343	snp	1879	17	20	20	0	0	13	0	0
344	snp	917	3	15	15	100	26.0	2	0	0
345	snp	977	1	20	20	100	60.0	10	100	20.0
346	snp	1176	12	20	20	100	10.0	16	100	6.0
347	snp	108	12	2	2	100	100.0	2	100	100.0
348	snp	254	2	20	18	100	11.0	16	100	12.0
349	snp	873	6	13	13	100	53.0	8	100	62.0
350	snp	737	2	20	20	100	62.5	0	0	0
351	snp	1238	6	20	20	100	5.0	12	100	8.0
352	snp	1890	8	20	20	0	0	11	0	0
353	snp	1908	10	20	20	100	5.0	12	100	8.0
354	snp	1917	15	20	20	0	0	8	0	0
355	snp	1854	8	20	20	100	5.0	11	100	9.0
356	snp	1916	14	20	20	0	0	13	0	0
357	snp	1695	3	20	20	0	0	14	0	0
358	snp	1112	1	20	20	100	20.0	6	100	50.0
359	snp	640	1	20	20	100	85.0	0	0	0
360	snp	112	9	3	3	100	100.0	0	0	0
361	snp	809	2	20	20	100	20.0	12	100	8.0
362	snp	1641	8	20	20	100	5.0	14	100	7.0
363	snp	310	1	5	5	100	40.0	3	0	0
364	snp	1111	3	20	20	100	50.0	4	0	0
365	snp	1925	2	20	20	100	5.0	14	100	7.0
366	snp	1918	5	20	20	100	10.0	13	100	15.0
367	snp	1932	8	20	20	0	0	13	0	0
368	snp	1318	1	19	19	100	36.0	9	100	22.0
369	snp	1355	11	20	20	100	35.0	9	100	33.0
370	snp	1164	10	14	14	0	0	11	0	0
371	snp	208	2	20	20	100	20.0	14	100	7.0
372	snp	1309	3	20	20	100	60.0	8	100	25.0
373	snp	102	4	2	2	100	100.0	0	0	0
374	snp	1241	1	20	20	100	15.0	5	0	0
375	snp	1924	6	20	20	100	5.0	10	100	10.0
376	snp	1932	7	20	20	0	0	8	0	0
377	snp	1892	8	20	20	0	0	15	0	0
378	snp	1804	5	20	20	100	5.0	16	100	6.0
379	snp	1480	8	20	20	100	5.0	11	100	9.0
380	snp	1035	1	20	20	100	5.0	11	0	0
381	snp	450	1	10	10	100	100.0	0	0	0
382	snp	437	2	20	20	100	50.0	6	0	0
383	snp	631	7	20	18	100	5.0	16	100	6.0
384	snp	202	1	4	4	100	50.0	2	0	0
385	snp	1274	13	20	20	100	5.0	13	0	0
386	snp	1916	8	20	20	0	0	13	0	0
387	snp	1836	6	20	20	0	0	10	0	0
388	snp	705	1	15	13	100	69.0	2	100	50.0
389	snp	1256	3	20	20	100	65.0	7	100	28.0
390	snp	490	6	6	6	100	60.5	6	100	60.5
391	indel	890	2	20	20	100	57.5	0	0	0
392	indel	1452	13	20	20	0	0	6	0	0
393	indel	1761	12	20	20	100	70.0	10	100	80.0
394	indel	1967	3	20	20	100	70.0	12	100	52.333333333333336
395	indel	1954	14	20	20	100	77.5	13	100	67.92857142857143
396	indel	1969	6	20	20	100	99.16666666666667	10	100	98.33333333333333
397	indel	1992	9	20	20	100	61.666666666666664	12	100	60.666666666666664
398	indel	1982	4	20	20	100	68.75	13	100	66.75
399	indel	1984	6	20	20	50	35.0	11	50	33.0
400	indel	1945	22	20	20	40	30.0	6	40	33.0
401	indel	1407	16	20	20	100	25.625	12	12	45.5
402	indel	857	1	20	20	100	95.0	0	0	0
403	indel	560	11	14	14	100	100.0	0	0	0
404	snp	165	3	20	20	100	15.0	14	100	7.0
405	snp	1831	8	20	20	100	95.0	5	100	80.0
406	snp	1790	11	20	20	100	100.0	8	100	100.0
407	snp	1810	7	20	20	100	75.0	17	100	82.0
408	snp	1367	7	16	16	100	87.0	15	100	86.0
409	snp	551	7	20	14	0	0	12	0	0
410	snp	100	1	4	2	100	50.0	0	0	0
411	snp	1052	2	20	20	100	100.0	0	0	0
412	snp	1448	6	20	20	100	40.0	11	100	27.0
413	snp	1726	5	20	20	100	10.0	16	100	12.0
414	snp	1749	6	20	20	100	5.0	16	100	6.0
415	snp	1386	2	20	20	100	50.0	10	100	20.0
416	snp	275	1	5	5	100	100.0	0	0	0
417	snp	1278	3	20	20	100	41.666666666666664	12	100	25.0
418	snp	1908	9	20	20	0	0	16	0	0
419	snp	1419	9	20	20	0	0	13	0	0
420	snp	803	1	17	17	100	100.0	2	100	100.0
421	snp	941	1	20	20	100	100.0	4	100	100.0
422	snp	1700	8	20	20	100	100.0	14	100	100.0
423	snp	1752	7	20	20	100	100.0	11	100	100.0
424	snp	1776	8	20	20	100	100.0	13	100	100.0
425	snp	1775	8	20	20	100	95.0	10	100	100.0
426	snp	1319	2	20	20	100	20.0	6	100	16.0
427	snp	257	2	7	7	100	100.0	0	0	0
428	snp	464	6	20	18	100	33.0	13	100	15.0
429	snp	291	25	3	3	0	0	3	0	0
430	snp	822	2	20	20	100	20.0	10	0	0
431	snp	1924	12	20	20	0	0	15	0	0
432	snp	1932	6	20	20	0	0	13	0	0
433	snp	1884	7	20	20	100	5.0	10	100	10.0
434	snp	1730	10	20	20	0	0	14	0	0
435	snp	757	3	17	17	100	58.0	5	0	0
436	indel	474	10	20	20	100	10.0	16	100	12.0
437	indel	1357	19	20	20	100	65.0	16	100	75.0
438	indel	1883	10	20	18	100	77.0	18	100	77.0
439	indel	1741	11	20	18	100	66.0	17	100	64.0
440	indel	1287	11	20	20	100	90.0	9	100	100.0
441	indel	781	3	20	20	100	60.0	0	0	0
442	indel	703	3	16	16	100	100.0	0	0	0
443	indel	1588	1	20	20	100	5.0	8	0	0
444	indel	1916	14	20	20	100	40.0	9	100	44.0
445	indel	1940	13	20	20	100	90.0	12	100	83.0
446	indel	1939	4	20	20	100	95.0	11	100	90.0
447	indel	1815	6	20	20	100	90.0	15	100	93.0
448	indel	1954	9	20	20	100	99.44444444444444	11	100	98.88888888888889
449	indel	1950	15	20	20	86	100.0	7	86	100.0
450	indel	1942	6	20	20	100	85.83333333333333	13	100	87.16666666666667
451	indel	1938	7	20	20	100	45.714285714285715	15	100	47.57142857142857
452	indel	1289	5	20	20	100	60.0	10	100	44.0
453	indel	834	7	20	20	100	55.0	0	0	0
454	indel	143	1	5	5	100	20.0	0	0	0
455	snp	1118	7	20	20	100	25.0	15	100	26.0
456	snp	486	13	6	6	0	0	3	0	0
457	snp	359	2	15	11	100	36.0	9	100	22.0
458	snp	820	1	20	20	100	100.0	0	0	0
459	snp	745	1	20	20	100	60.0	0	0	0
460	snp	819	4	20	20	100	90.0	1	100	100.0
461	snp	872	2	20	20	100	65.0	1	100	100.0
462	snp	890	2	20	20	100	50.0	2	0	0
463	snp	1155	1	20	20	100	30.0	3	0	0
464	snp	1353	7	20	20	0	0	5	0	0
465	snp	1509	9	20	20	0	0	6	0	0
466	snp	1677	2	20	20	100	5.0	7	0	0
467	snp	1775	10	20	20	100	5.0	5	100	20.0
468	snp	1765	4	20	20	100	45.0	7	100	28.0
469	snp	1586	1	20	20	100	55.0	9	100	66.0
470	snp	1731	1	20	20	100	10.0	10	100	10.0
471	snp	1757	6	20	20	100	10.0	5	100	40.0
472	snp	1611	2	20	20	100	10.0	9	100	22.0
473	snp	1743	6	20	20	100	5.0	11	100	9.0
474	snp	1652	9	20	20	100	5.0	10	100	10.0
475	snp	1486	4	20	20	100	10.0	12	100	16.0
476	snp	1706	7	20	20	100	10.0	10	100	10.0
477	snp	1726	11	20	20	0	0	8	0	0
478	snp	1780	13	20	20	0	0	4	0	0
479	snp	1780	8	20	20	0	0	11	0	0
480	snp	1780	15	20	20	0	0	6	0	0
481	snp	1780	11	20	20	0	0	4	0	0
482	snp	1767	17	20	20	100	5.0	8	100	12.0
483	snp	1770	8	20	20	100	5.0	12	100	8.0
484	snp	1318	4	20	20	0	0	8	0	0
485	snp	1020	6	20	20	0	0	5	0	0
486	snp	914	8	20	20	100	70.0	2	0	0
487	snp	950	8	20	20	100	80.0	0	0	0
488	snp	952	7	20	20	100	65.0	0	0	0
489	snp	723	1	20	18	100	22.0	0	0	0
490	snp	639	1	16	16	100	100.0	0	0	0
491	snp	1140	2	20	20	100	10.0	10	0	0
492	snp	1932	13	20	20	0	0	17	0	0
493	snp	667	2	8	8	100	12.0	7	0	0
494	snp	1500	4	20	20	100	70.0	14	100	78.0
495	snp	1683	8	20	20	0	0	17	0	0
496	snp	675	8	10	10	100	50.0	5	0	0
497	snp	1082	3	20	20	100	5.0	14	100	7.0
498	snp	1724	3	20	20	100	10.0	9	100	22.0
499	snp	1772	7	20	20	0	0	13	0	0
500	snp	1693	8	20	20	0	0	16	0	0
501	snp	680	3	13	13	100	100.0	1	100	100.0
502	snp	1158	5	20	20	100	25.0	11	0	0
503	snp	1715	11	20	20	0	0	18	0	0
504	snp	1914	6	20	20	0	0	17	0	0
505	snp	800	1	15	15	100	66.0	2	0	0
506	snp	1341	1	20	20	100	100.0	8	100	100.0
507	snp	1780	10	20	20	100	100.0	10	100	100.0
508	snp	1764	9	20	20	100	100.0	7	100	100.0
509	snp	1780	13	20	20	100	100.0	9	100	100.0
510	snp	1335	10	20	20	100	65.0	14	100	64.0
511	snp	1098	2	20	20	100	50.0	7	100	14.0
512	snp	212	2	4	4	100	100.0	0	0	0
513	indel	674	3	20	20	100	38.333333333333336	9	66	11.0
514	indel	1468	4	20	20	75	45.0	14	75	47.333333333333336
515	indel	285	1	7	7	100	85.0	0	0	0
516	snp	1077	1	20	20	100	55.0	7	100	28.0
517	snp	1803	13	20	20	0	0	14	0	0
518	snp	1647	5	20	20	100	25.0	17	100	17.0
519	snp	1072	4	20	20	100	85.0	4	100	50.0
520	snp	558	2	20	18	100	16.0	14	100	14.0
521	snp	464	6	6	6	100	16.0	4	0	0
