date	deviceCategory	sessions
20131117	desktop	135
20131118	desktop	142
20131119	desktop	110
20131120	desktop	102
20131121	desktop	102
20131122	desktop	79
20131123	desktop	69
20131124	desktop	86
20131125	desktop	81
20131126	desktop	82
20131127	desktop	106
20131128	desktop	70
20131129	desktop	105
20131130	desktop	83
20131201	desktop	72
20131202	desktop	92
20131203	desktop	88
20131204	desktop	81
20131205	desktop	90
20131206	desktop	67
20131207	desktop	60
20131208	desktop	70
20131209	desktop	88
20131210	desktop	70
20131211	desktop	72
20131212	desktop	70
20131213	desktop	75
20131214	desktop	63
20131215	desktop	62
20131216	desktop	72
20131217	desktop	75
20131218	desktop	62
20131219	desktop	62
20131220	desktop	57
20131221	desktop	48
20131222	desktop	46
20131223	desktop	48
20131224	desktop	36
20131225	desktop	26
20131226	desktop	48
20131227	desktop	51
20131228	desktop	34
20131229	desktop	31
20131230	desktop	57
20131231	desktop	58
20140101	desktop	43
20140102	desktop	65
20140103	desktop	62
20140104	desktop	51
20140105	desktop	71
20140106	desktop	61
20140107	desktop	63
20140108	desktop	61
20140109	desktop	55
20140110	desktop	59
20140111	desktop	38
20140112	desktop	50
20140113	desktop	60
20140114	desktop	61
20140115	desktop	62
20140116	desktop	63
20140117	desktop	48
20140118	desktop	51
20140119	desktop	44
20140120	desktop	49
20140121	desktop	45
20140122	desktop	41
20140123	desktop	38
20140124	desktop	39
20140125	desktop	82
20140126	desktop	199
20140127	desktop	160
20140128	desktop	102
20140129	desktop	106
20140130	desktop	66
20140131	desktop	64
20140201	desktop	56
20140202	desktop	69
20140203	desktop	73
20140204	desktop	73
20140205	desktop	62
20140206	desktop	78
20140207	desktop	82
20140208	desktop	59
20140209	desktop	63
20140210	desktop	58
20140211	desktop	71
20140212	desktop	74
20140213	desktop	86
20140214	desktop	68
20140215	desktop	53
20140216	desktop	77
20140217	desktop	92
20140218	desktop	57
20140219	desktop	66
20140220	desktop	65
20140221	desktop	60
20140222	desktop	47
20140223	desktop	41
20140224	desktop	47
20140225	desktop	58
20140226	desktop	55
20140227	desktop	60
20140228	desktop	65
20140301	desktop	35
20140302	desktop	41
20140303	desktop	56
20140304	desktop	51
20140305	desktop	47
20140306	desktop	52
20140307	desktop	51
20140308	desktop	41
20140309	desktop	59
20140310	desktop	49
20140311	desktop	70
20140312	desktop	61
20140313	desktop	69
20140314	desktop	73
20140315	desktop	52
20140316	desktop	54
20140317	desktop	64
20140318	desktop	49
20140319	desktop	69
20140320	desktop	49
20140321	desktop	58
20140322	desktop	28
20140323	desktop	44
20140324	desktop	59
20140325	desktop	55
20140326	desktop	39
20140327	desktop	54
20140328	desktop	57
20140329	desktop	20
20140330	desktop	32
20140331	desktop	37
20140401	desktop	42
20140402	desktop	53
20140403	desktop	56
20140404	desktop	45
20140405	desktop	41
20140406	desktop	38
20140407	desktop	43
20140408	desktop	48
20140409	desktop	49
20140410	desktop	51
20140411	desktop	52
20140412	desktop	43
20140413	desktop	39
20140414	desktop	36
20140415	desktop	35
20140416	desktop	33
20140417	desktop	42
20140418	desktop	40
20140419	desktop	33
20140420	desktop	43
20140421	desktop	46
20140422	desktop	36
20140423	desktop	61
20140424	desktop	45
20140425	desktop	47
20140426	desktop	43
20140427	desktop	51
20140428	desktop	37
20140429	desktop	36
20140430	desktop	37
20140501	desktop	38
20140502	desktop	52
20140503	desktop	24
20140504	desktop	32
20140505	desktop	53
20140506	desktop	31
20140507	desktop	35
20140508	desktop	45
20140509	desktop	30
20140510	desktop	44
20140511	desktop	31
20140512	desktop	52
20140513	desktop	36
20140514	desktop	45
20140515	desktop	31
20140516	desktop	35
20140517	desktop	32
20140518	desktop	39
20140519	desktop	44
20140520	desktop	46
20140521	desktop	46
20140522	desktop	62
20140523	desktop	60
20140524	desktop	30
20140525	desktop	37
20140526	desktop	56
20140527	desktop	47
20140528	desktop	43
20140529	desktop	47
20140530	desktop	41
20140531	desktop	28
20140601	desktop	30
20140602	desktop	39
20140603	desktop	38
20140604	desktop	40
20140605	desktop	40
20140606	desktop	38
20140607	desktop	48
20140608	desktop	36
20140609	desktop	44
20140610	desktop	48
20140611	desktop	43
20140612	desktop	40
20140613	desktop	32
20140614	desktop	32
20140615	desktop	36
20140616	desktop	29
20140617	desktop	51
20140618	desktop	42
20140619	desktop	55
20140620	desktop	44
20140621	desktop	28
20140622	desktop	49
20140623	desktop	58
20140624	desktop	43
20140625	desktop	43
20140626	desktop	35
20140627	desktop	41
20140628	desktop	22
20140629	desktop	31
20140630	desktop	42
20140701	desktop	36
20140702	desktop	29
20140703	desktop	31
20140704	desktop	38
20140705	desktop	26
20140706	desktop	43
20140707	desktop	37
20140708	desktop	23
20140709	desktop	40
20140710	desktop	29
20140711	desktop	30
20140712	desktop	30
20140713	desktop	24
20140714	desktop	34
20140715	desktop	30
20140716	desktop	31
20140717	desktop	22
20140718	desktop	28
20140719	desktop	19
20140720	desktop	22
20140721	desktop	26
20140722	desktop	23
20140723	desktop	26
20140724	desktop	25
20140725	desktop	33
20140726	desktop	26
20140727	desktop	29
20140728	desktop	34
20140729	desktop	37
20140730	desktop	35
20140731	desktop	26
20140801	desktop	33
20140802	desktop	19
20140803	desktop	30
20140804	desktop	28
20130813	mobile	270
20130814	mobile	106
20130815	mobile	61
20130816	mobile	24
20130817	mobile	15
20130818	mobile	12
20130819	mobile	18
20130820	mobile	16
20130821	mobile	146
20130822	mobile	37
20130823	mobile	26
20130824	mobile	8
20130825	mobile	4
20130826	mobile	5
20130827	mobile	7
20130828	mobile	6
20130829	mobile	4
20130830	mobile	5
20130831	mobile	4
20130901	mobile	1
20130902	mobile	1
20130903	mobile	1
20130904	mobile	3
20130905	mobile	2
20130906	mobile	3
20130907	mobile	2
20130908	mobile	6
20130909	mobile	1
20130910	mobile	4
20130911	mobile	1
20130912	mobile	5
20130913	mobile	5
20130915	mobile	4
20130916	mobile	1
20130917	mobile	1
20130920	mobile	1
20130921	mobile	3
20130922	mobile	1
20130923	mobile	45
20130924	mobile	15
20130925	mobile	2
20130926	mobile	4
20130927	mobile	1
20130930	mobile	2
20131001	mobile	2
20131002	mobile	1
20131003	mobile	2
20131004	mobile	1
20131006	mobile	1
20131010	mobile	1
20131014	mobile	3
20131017	mobile	1
20131018	mobile	3
20131019	mobile	1
20131020	mobile	1
20131021	mobile	3
20131022	mobile	1
20131025	mobile	5
20131026	mobile	1
20131027	mobile	1
20131029	mobile	1
20131101	mobile	1
20131104	mobile	1
20131105	mobile	4
20131106	mobile	7
20131107	mobile	14
20131108	mobile	11
20131109	mobile	5
20131110	mobile	68
20131111	mobile	15
20131112	mobile	7
20131113	mobile	4
20131114	mobile	6
20131115	mobile	1
20131116	mobile	2
20131117	mobile	5
20131118	mobile	1
20131119	mobile	2
20131120	mobile	1
20131121	mobile	1
20131122	mobile	1
20131124	mobile	1
20131126	mobile	1
20131127	mobile	2
20131128	mobile	2
20131129	mobile	1
20131202	mobile	1
20131203	mobile	1
20131205	mobile	1
20131206	mobile	2
20131209	mobile	1
20131211	mobile	1
20131214	mobile	1
20131223	mobile	1
20131224	mobile	1
20131225	mobile	1
20131228	mobile	1
20131229	mobile	1
20131231	mobile	2
20140103	mobile	1
20140106	mobile	1
20140116	mobile	2
20140125	mobile	2
20140126	mobile	6
20140130	mobile	2
20140201	mobile	1
20140202	mobile	1
20140203	mobile	1
20140206	mobile	2
20140208	mobile	2
20140211	mobile	1
20140213	mobile	1
20140216	mobile	1
20140304	mobile	1
20140305	mobile	1
20140309	mobile	1
20130813	tablet	176
20130814	tablet	62
20130815	tablet	40
20130816	tablet	23
20130817	tablet	18
20130818	tablet	15
20130819	tablet	5
20130820	tablet	11
20130821	tablet	28
20130822	tablet	9
20130823	tablet	9
20130824	tablet	5
20130825	tablet	8
20130826	tablet	5
20130827	tablet	3
20130828	tablet	3
20130829	tablet	6
20130830	tablet	9
20130831	tablet	6
20130901	tablet	6
20130902	tablet	1
20130905	tablet	3
20130906	tablet	4
20130907	tablet	4
20130908	tablet	1
20130909	tablet	2
20130911	tablet	1
20130912	tablet	2
20130913	tablet	1
20130915	tablet	2
20130916	tablet	2
20130917	tablet	3
20130918	tablet	1
20130923	tablet	24
20130924	tablet	7
20130925	tablet	5
20130926	tablet	1
20130927	tablet	2
20130928	tablet	3
20130929	tablet	1
20130930	tablet	3
20131001	tablet	2
20131002	tablet	2
20131003	tablet	1
20131005	tablet	2
20131009	tablet	3
20131010	tablet	1
20131012	tablet	1
20131015	tablet	1
20131017	tablet	3
20131018	tablet	3
20131019	tablet	1
20131020	tablet	2
20131021	tablet	2
20131025	tablet	1
20131027	tablet	1
20131031	tablet	1
20131103	tablet	1
20131104	tablet	1
20131105	tablet	2
20131106	tablet	1
20131107	tablet	8
20131108	tablet	3
20131109	tablet	2
20131110	tablet	153
20131111	tablet	16
20131112	tablet	6
20131113	tablet	6
20131114	tablet	3
20131115	tablet	4
20131116	tablet	3
20131117	tablet	2
20131118	tablet	4
20131120	tablet	1
20131121	tablet	1
20131122	tablet	1
20131127	tablet	1
20131128	tablet	1
20131130	tablet	1
20131201	tablet	3
20131202	tablet	1
20131204	tablet	1
20131205	tablet	1
20131209	tablet	2
20131210	tablet	1
20131221	tablet	2
20131223	tablet	2
20131230	tablet	1
20140102	tablet	1
20140113	tablet	1
20140114	tablet	2
20140116	tablet	1
20140119	tablet	1
20140124	tablet	1
20140125	tablet	2
20140126	tablet	10
20140127	tablet	3
20140128	tablet	2
20140129	tablet	1
20140130	tablet	1
20140131	tablet	1
20140201	tablet	2
20140202	tablet	2
20140203	tablet	1
20140204	tablet	1
20140205	tablet	1
20140206	tablet	1
20140210	tablet	1
20140211	tablet	1
20140212	tablet	1
20140214	tablet	3
20140215	tablet	1
20140218	tablet	1
20140303	tablet	1
20140306	tablet	1
20140308	tablet	2
20140317	tablet	1
20140319	tablet	1
20140325	tablet	1
